Name,Quantity,Cost,Link
ESP32,1,$6.50,https://amzn.in/d/00Hn10EH
NRF24L01,2,$4.00,https://www.flyrobo.in/2.4ghz-nrf24l01-pa-lna-sma-wireless-transceiver-antenna
Switch,1,$1.70,https://amzn.in/d/02DhS15A
3.7v LiPo Battery,1,$3.02,https://amzn.in/d/050THvbC
TP4056 Charger Module,1,$1.20,https://amzn.in/d/01OvmiZk
Dotted PCB,1,$3.18,https://amzn.in/d/0172Sswi
Female Header Berg Strip,5,$4.00,https://amzn.in/d/09em2rD2
220ohm Resistor,1,$0.50,robocraze.com
5mm LED,1,$0.50,robocraze.com
Adapter Board,2,$1.40,https://www.flyrobo.in/3.3v-adapter-board-for-nrf24l01-wireless-module
